	Datacenter	URL	IP v4 addresses	IP v6 range in DB
logo Xneelo (Pty) Ltd	Xneelo (Pty) Ltd	https://www.xneelo.com/	105,472  	 
logo HopOne	HopOne	http://www.hopone.net/	102,400  	 
logo Mail.ru Llc	Mail.ru Llc	https://corp.mail.ru/	102,400  	Yes
logo accelerated.de	accelerated.de	http://accelerated.de/	99,840  	 
logo Gmo Internet, Inc	Gmo Internet, Inc	https://www.gmo.jp/	99,840  	Yes
logo BuyVM (frantech)	BuyVM (frantech)	https://buyvm.net/	98,304  	Yes
logo Nazwa.pl Sp.z.o.o	Nazwa.pl Sp.z.o.o	https://www.nazwa.pl/	98,304  	 
logo Voxel	Voxel	http://www.voxel.net/	97,535  	 
logo root S.A.	root S.A.	http://www.site.lu/	94,720  	 
logo WebNX Inc.	WebNX Inc.	https://webnx.com/	94,384  	 
logo Limestone Networks	Limestone Networks	https://www.limestonenetworks.com/	91,500  	Yes
logo CASABLANCA INT a.s.	CASABLANCA INT a.s.	https://www.casablanca.cz/	91,152  	 
logo TierPoint, LLC	TierPoint, LLC	http://www.tierpoint.com/	91,136  	 
logo Radore Hosting	Radore Hosting	http://radore.com/	90,112  	 
logo Total Server Solutions	Total Server Solutions	http://totalserversolutions.com/	86,784  	 
logo Canaca-com Inc.	Canaca-com Inc.	http://canaca.com	86,016  	 
logo NetworkLayer Technologies	NetworkLayer Technologies	http://networklayertech.net/	86,016  	 
logo Hosting Services Inc.	Hosting Services Inc.	https://www.midphase.com/	84,952  	Yes
logo Limelight Networks Inc	Limelight Networks Inc	http://www.limelight.com/	84,480  	 
logo XLHost.com Inc	XLHost.com Inc	https://www.xlhost.com/	84,480  	 
logo Hivelocity Hosting	Hivelocity Hosting	https://www.hivelocity.net/	84,225  	 
logo Fasthosts Internet Ltd	Fasthosts Internet Ltd	http://www.fasthosts.co.uk/	81,920  	 
logo LinkedIn Inc.	LinkedIn Inc.	http://www.linkedin.com/	80,896  	Yes
logo Peak Web Hosting	Peak Web Hosting	http://www.peakwebhosting.com/	80,384  	 
logo demos	demos	http://demos.ru/	78,592  	 
logo BlueConnex	BlueConnex	http://www.simplytransit.net/	78,080  	 
logo Masterhost.ru	Masterhost.ru	https://masterhost.ru/	78,080  	 
logo INMOTION HOSTING, INC.	INMOTION HOSTING, INC.	https://www.inmotionhosting.com/	77,800  	 
logo VersaWeb	VersaWeb	https://versaweb.com/	73,984  	Yes
logo Data 102	Data 102	http://data102.com/	73,728  	 
logo Datapoint	Datapoint	http://www.datapointinc.com/	73,728  	 
logo panamaserver.com	panamaserver.com	http://panamaserver.com/	72,960  	 
logo Interserver, Inc.	Interserver, Inc.	https://www.interserver.net/	70,672  	 
logo Green House Data, Inc	Green House Data, Inc	https://www.greenhousedata.com/	70,656  	 
logo ServInt	ServInt	http://www.servint.net/	70,656  	 
logo UK2 Group	UK2 Group	https://www.uk2group.com/	69,904  	 
logo MojoHost	MojoHost	http://www.mojohost.com	69,632  	 
logo Krakowskie e-Centrum Informatyczne	Krakowskie e-Centrum Informatyczne	https://www.kei.pl/	67,584  	 
logo Powerhouse Management	Powerhouse Management	https://www.phmgmt.com/	65,792  	 
logo Google	Google	https://www.google.com/	65,536  	Yes
logo Star-Hosting e.K.	Star-Hosting e.K.	http://star-hosting.de/	65,536  	 
logo WebARENA	WebARENA	https://web.arena.ne.jp/	65,536  	 
logo Razor	Razor	http://www.razorservers.com/	63,488  	 
logo LINK11 Gmbh	LINK11 Gmbh	http://www.link11.de/	61,440  	 
logo Nodes Direct Holdings, LLC	Nodes Direct Holdings, LLC	http://www.nodesdirect.com/	61,440  	 
logo Portlane	Portlane	http://www.portlane.com/	61,440  	Yes
logo Servers.com, Inc	Servers.com, Inc	https://www.servers.com/	61,440  	 
logo domainfactory GmbH	domainfactory GmbH	https://www.df.eu/	61,312  	Yes
logo Gorilla Servers	Gorilla Servers	https://www.gorillaservers.com/	60,416  	 
logo NAVER Corp	NAVER Corp	http://www.navercorp.com/	60,160  	 
logo A2 Hosting, Inc.	A2 Hosting, Inc.	https://www.a2hosting.com/	59,648  	 
logo acens Technologies	acens Technologies	http://www.acens.com/	59,392  	 
logo QuickPacket, LLC	QuickPacket, LLC	https://www.quickpacket.com/	58,880  	 
logo FirstVDS	FirstVDS	https://firstvds.ru/	58,370  	Yes
logo Tsohost	Tsohost	https://www.tsohost.com/	58,368  	Yes
logo KnownHost LLC	KnownHost LLC	https://www.knownhost.com/	58,159  	 
logo Arsys internet S.L.	Arsys internet S.L.	https://www.arsys.es/	58,040  	 
logo netcup GmbH	netcup GmbH	https://www.netcup.de/	57,856  	Yes
logo ANEXIA Internetdienstleistungs GmbH	ANEXIA Internetdienstleistungs GmbH	https://www.anexia.com/	57,376  	Yes
logo cyberwurx.com	cyberwurx.com	https://cyberwurx.com/	57,344  	 
logo DataCamp Limited	DataCamp Limited	https://datacamp.co.uk/	57,294  	Yes
